Run1_ID,Run2_ID,Similarity,Confidence,Distance_Sim,Clock_Sim,Type_Sim
RUN_2015_299,RUN_2022_2826,0.6397449445149731,MEDIUM,0.0,0.993079612490316,1.0
RUN_2015_300,RUN_2022_1410,0.640148318439443,MEDIUM,0.0,0.9988895059442793,1.0
RUN_2015_301,RUN_2022_3263,0.6379724463373453,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_302,RUN_2022_2828,0.6377958884491097,MEDIUM,0.0,0.9930796124903162,1.0
RUN_2015_303,RUN_2022_3563,0.6333469921234938,MEDIUM,0.0,0.9975031223974601,1.0
RUN_2015_304,RUN_2022_4305,0.6225275684408158,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_305,RUN_2022_3728,0.6428659641344889,MEDIUM,0.0,0.9864811012168712,1.0
RUN_2015_306,RUN_2022_2274,0.6419081562913993,MEDIUM,0.0,0.990049833749168,1.0
RUN_2015_345,RUN_2022_2950,0.6192491333329112,MEDIUM,0.0,0.9997222607988971,1.0
RUN_2015_348,RUN_2022_883,0.6349806508979429,MEDIUM,3.326132677002876e-27,0.9997222607988971,1.0
RUN_2015_349,RUN_2022_75,0.6226641663458168,MEDIUM,0.0,0.9975031223974602,1.0
RUN_2015_350,RUN_2022_4397,0.6365393486847993,MEDIUM,0.0,0.9930796124903161,1.0
RUN_2015_351,RUN_2022_4757,0.6341276385597461,MEDIUM,0.0,0.990049833749168,1.0
RUN_2015_353,RUN_2022_2953,0.6285102780049303,MEDIUM,0.0,0.9997222607988971,1.0
RUN_2015_354,RUN_2022_3386,0.632601151147793,MEDIUM,0.0,0.9997222607988971,1.0
RUN_2015_356,RUN_2022_3547,0.6378834724143201,MEDIUM,0.0,0.9777512371933362,1.0
RUN_2015_357,RUN_2022_3876,0.6344075519034218,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_359,RUN_2022_2124,0.6285763178981781,MEDIUM,0.0,0.9997222607988971,1.0
RUN_2015_360,RUN_2022_708,0.6463628810412414,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_362,RUN_2022_881,0.6033501611854674,MEDIUM,1.3369800650352162e-36,0.9988895059442793,1.0
RUN_2015_363,RUN_2022_292,0.611343104850901,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_364,RUN_2022_25,0.6413455916804273,MEDIUM,0.0,0.9988895059442793,1.0
RUN_2015_365,RUN_2022_2529,0.6411923855940135,MEDIUM,0.0,0.9997222607988971,1.0
RUN_2015_367,RUN_2022_4202,0.6113806234617525,MEDIUM,0.0,0.9988895059442793,1.0
RUN_2015_368,RUN_2022_2270,0.6401626782378567,MEDIUM,0.0,0.9955654174830927,1.0
RUN_2015_369,RUN_2022_4247,0.6236797888528623,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_371,RUN_2022_4178,0.6021738955136754,MEDIUM,0.0,0.9955654174830928,1.0
RUN_2015_380,RUN_2022_1671,0.6133230534774619,MEDIUM,0.0,0.9988895059442793,1.0
