Match_ID,Time_Interval_Years,Depth_Growth_Rate,Length_Growth_Rate,Width_Growth_Rate,Rapid_Growth,Risk_Score
RUN_2015_299_RUN_2022_2826,7.0,6.25,8.270676691729324,2.3431594860166314,True,0.0
RUN_2015_300_RUN_2022_1410,7.0,2.197802197802198,10.389610389610386,8.318264014466545,False,0.0
RUN_2015_301_RUN_2022_3263,7.0,1.098901098901099,18.763326226012794,0.5780346820809255,False,0.0
RUN_2015_302_RUN_2022_2828,7.0,4.201680672268908,14.988290398126464,-0.07892659826361491,False,0.0
RUN_2015_303_RUN_2022_3563,7.0,4.285714285714286,17.46031746031746,8.10234541577825,False,0.0
RUN_2015_304_RUN_2022_4305,7.0,0.0,52.58358662613983,3.465765004226544,False,0.0
RUN_2015_305_RUN_2022_3728,7.0,-1.6326530612244898,6.990881458966565,3.8229376257545282,False,0.0
RUN_2015_306_RUN_2022_2274,7.0,-2.93040293040293,8.853118712273641,-0.868192580899764,False,0.0
RUN_2015_345_RUN_2022_2950,7.0,0.0,64.74164133738603,5.690072639225181,False,0.0
RUN_2015_348_RUN_2022_883,7.0,3.5714285714285716,22.128851540616246,-1.073492981007431,False,0.0
RUN_2015_349_RUN_2022_75,7.0,4.285714285714286,30.922242314647377,12.38095238095238,False,0.0
RUN_2015_350_RUN_2022_4397,7.0,7.6923076923076925,7.506053268765135,6.1224489795918355,True,0.0
RUN_2015_351_RUN_2022_4757,7.0,3.2967032967032965,20.07233273056057,2.663438256658595,False,0.0
RUN_2015_353_RUN_2022_2953,7.0,0.0,31.868131868131872,7.587149692412853,False,0.0
RUN_2015_354_RUN_2022_3386,7.0,1.1904761904761902,29.297820823244553,-1.2072434607645863,False,0.0
RUN_2015_356_RUN_2022_3547,7.0,3.2967032967032965,11.688311688311686,0.2915451895043734,False,0.0
RUN_2015_357_RUN_2022_3876,7.0,2.857142857142857,22.033898305084744,2.5974025974025965,False,0.0
RUN_2015_359_RUN_2022_2124,7.0,-0.6493506493506495,30.508474576271194,8.338720103425986,False,0.0
RUN_2015_360_RUN_2022_708,7.0,2.197802197802198,5.471124620060792,0.9298393913778538,False,0.0
RUN_2015_362_RUN_2022_881,7.0,1.7857142857142858,164.98599439775913,13.270485859318345,False,0.0
RUN_2015_363_RUN_2022_292,7.0,0.0,143.76899696048633,1.4128728414442695,False,0.0
RUN_2015_364_RUN_2022_25,7.0,0.7142857142857143,14.769975786924942,1.1904761904761916,False,0.0
RUN_2015_365_RUN_2022_2529,7.0,0.0,10.822510822510822,7.6923076923076925,False,0.0
